Palas,Precio,Marca,Color,Producto,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Acabado,Forma,Superficie,Tipo de Juego,Jugador
PALA SIUX DIABLO REVOLUTION II AIR,"129,95 €",siux,"negro, blanco, gris",palas,medio,eva,No data,media,"avanzado / competición, profesional",No data,No data,lisa,polivalente,hombre
BABOLAT COUNTER VERON 2023,"118,95 €",babolat,"negro, amarillo",palas,medio,black eva,"carbono, fibra de vidrio",No data,avanzado / competición,mate,redonda,rugosa,polivalente,"hombre, mujer"
NOX ML10 PRO CUP COORP 23,"104,95 €",nox,"blanco, gold",palas,medio,eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,lisa,polivalente,"hombre, mujer"
BABOLAT TECHNICAL VIPER 2023,"148,95 €",babolat,"negro, rojo",palas,alto,medium eva,No data,media,"avanzado / competición, profesional",No data,diamante,rugosa,potencia,hombre
PALA SIUX FENIX II 3K,"89,95 €",siux,"negro, naranja",palas,medio,eva,No data,No data,avanzado / competición,No data,No data,rugosa,polivalente,hombre
DUNLOP SONIC,"179,95 €",dunlop,"negro, amarillo",palas,medio,ultrasoft eva,No data,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
SIUX DIABLO REVOLUTION II,"129,95 €",siux,"negro, blanco, plateado",palas,alto,medium eva,No data,"dura, media",profesional,mate,No data,rugosa,polivalente,hombre
PALA SIUX TRILOGY 3 ATTACK,"99,00 €",siux,"negro, azul",palas,alto,soft eva,No data,media,avanzado / competición,No data,diamante,rugosa,potencia,hombre
NOX MM2 PRO BY MANU MARTIN,"107,95 €",nox,"negro, rojo",palas,"medio, bajo",hard eva,No data,No data,profesional,No data,No data,rugosa,"control, potencia",hombre
DROP SHOT INDIGO LTD,"106,95 €",drop shot,"negro, azul",palas,medio,medium eva,No data,No data,avanzado / competición,No data,lágrima,lisa,No data,"hombre, mujer"
SIUX ASTRA 3.0 HYBRID,"59,95 €",siux,"negro, amarillo, verde",palas,medio,soft eva,No data,No data,principiante / intermedio,mate,No data,rugosa,polivalente,hombre
BLACK CROWN PITON NAKANO 15K,"108,95 €",black crown,No data,palas,bajo,supersoft eva,No data,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
STARVIE METHEORA DUAL 2024,"169,00 €",No data,amarillo,No data,alto,eva,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
STARVIE BASALTO PRO 2024,"156,00 €",No data,"negro, azul",No data,bajo,No data,No data,media,avanzado / competición,mate,redonda,rugosa,control,hombre
BULLPADEL VERTEX 04 COMFORT,"142,95 €",bullpadel,negro,palas,alto,multieva,No data,media,profesional,No data,diamante,rugosa,potencia,hombre
SIUX DIABLO REVOLUTION LITE 3,"229,00 €",siux,"negro, rojo",palas,medio,eva,No data,media,avanzado / competición,mate,No data,No data,polivalente,hombre
SOFTEE SPEED ORANGE POWER,"113,95 €",softee,"negro, naranja",palas,medio,soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
ADIDAS DRIVE 3.3 VINTAGE,"63,95 €",adidas,"blanco, marrón",palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,redonda,lisa,control,hombre
SOFTEE PRO MASTER EVOLUTION FUCSIA,"49,95 €",softee,"negro, fucsia",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,No data,lisa,polivalente,"hombre, mujer"
DUNLOP RAPID CONTROL 4.0,"62,95 €",dunlop,"negro, marrón",palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,redonda,lisa,control,"hombre, mujer"
DUNLOP TITAN PRO ORANGE 2024,"94,95 €",dunlop,naranja,palas,medio,No data,fibra de vidrio,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
VIBOR-A BLACK MAMBA,"159,95 €",vibor-a,negro,palas,medio,soft eva,fibra de vidrio,media,principiante / intermedio,mate,lágrima,rugosa,polivalente,"hombre, mujer"
ADIDAS ADIPOWER MULTIWEIGHT CTRL 3.3,"256,95 €",adidas,negro,palas,bajo,hard eva,No data,dura,avanzado / competición,mate,redonda,rugosa,control,hombre
ENEBE AEROX CARBON 22,"105,95 €",enebe,"negro, azul",palas,medio,ultrasoft eva,No data,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
MYSTICA LEGACY CONTROL PINK 2024,"50,95 €",No data,"negro, rosa",palas,bajo,eva,fibra de vidrio,media,principiante / intermedio,mate,redonda,lisa,control,"hombre, mujer"
ADIDAS MATCH LIGHT 3.3 2024,"49,95 €",adidas,blanco,palas,alto,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,lágrima,lisa,polivalente,"hombre, mujer"
VARLION BOURNE PRISMA RADIO W AZUL 2023,"229,95 €",varlion,"negro, azul",palas,alto,foam,No data,No data,profesional,No data,diamante,rugosa,potencia,"hombre, mujer"
RS RIALTO PRO 95081,"189,95 €",No data,No data,palas,medio,soft eva,No data,No data,"principiante / intermedio, profesional",No data,lágrima,rugosa,polivalente,hombre
ADIDAS ADIPOWER CTRL MTW PRO EDT BY ÁLEX RUIZ,"305,95 €",adidas,"blanco, rojo",palas,alto,No data,No data,media,profesional,No data,redonda,rugosa,control,hombre
BLACK CROWN SNAKE 2022,"103,95 €",black crown,"negro, verde",palas,medio,soft eva,No data,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
VARLION LW SUMMUM PRISMA S,"188,95 €",varlion,"negro, gris, azul",palas,bajo,hard eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,hombre
HARLEM COREX 18K,"95,95 €",No data,"negro, amarillo, azul",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,mate,No data,lisa,No data,"hombre, mujer"
VIBOR-A BLACK MAMBA RADICAL 12K 2024,"279,95 €",vibor-a,negro,No data,medio,medium eva,No data,media,profesional,mate,lágrima,rugosa,potencia,hombre
DUNLOP TITAN PRO WHITE 2024,"94,95 €",dunlop,negro,palas,medio,No data,fibra de vidrio,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
VIBOR-A TITAN 2024,"359,95 €",vibor-a,No data,palas,medio,eva,No data,media,avanzado / competición,No data,No data,rugosa,polivalente,hombre
SIUX BLACK CARBON REVOLUTION 2 2023,"94,95 €",siux,"negro, rojo",palas,bajo,hard eva,No data,dura,avanzado / competición,No data,redonda,lisa,control,hombre
BLACK CROWN PITON LIMITED,"207,95 €",black crown,"negro, gold",palas,"medio, bajo",medium eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
NOX AT PRO CUP COORP 2024,"118,95 €",nox,blanco,palas,medio,hard eva,fibra de vidrio,media,profesional,No data,lágrima,lisa,polivalente,"hombre, mujer"
WILSON CARBON FORCE PRO GOLD LTD,"192,95 €",wilson,"negro, gold",palas,bajo,supersoft eva,No data,No data,avanzado / competición,No data,redonda,rugosa,control,"hombre, mujer"
BULLPADEL ELITE W 24,"180,95 €",bullpadel,"negro, blanco",palas,medio,multieva,No data,media,avanzado / competición,No data,lágrima,lisa,polivalente,mujer
NOX ML10 BAHIA 12K LUXURY SERIES 2024,"168,95 €",nox,"negro, gris, rojo",palas,alto,black eva,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
DUNLOP INFINITY PRO G1 HL SILVER,"94,95 €",bullpadel,"negro, blanco",palas,medio,multieva,No data,media,avanzado / competición,No data,No data,lisa,polivalente,hombre
BULLPADEL NEURON,"172,95 €",dunlop,"negro, plateado",palas,medio,soft eva,No data,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
BLACK CROWN PITON 9.0 SOFT,"118,95 €",black crown,"negro, azul",palas,medio,soft eva,No data,No data,avanzado / competición,mate,redonda,lisa,No data,mujer
WINGPADEL AIR COMBAT BLACK CTRL 4.0,"59,95 €",wingpadel,"negro, plateado",palas,bajo,black eva,No data,media,avanzado / competición,mate,redonda,lisa,No data,hombre
DUNLOP IMPACT GREEN NH,"49,95 €",dunlop,"negro, verde",palas,alto,medium eva,fibra de vidrio,No data,avanzado / competición,mate,diamante,lisa,No data,"hombre, mujer"
ADIDAS METALBONE PRO EDT BY ALE GALÁN,"424,95 €",adidas,No data,palas,alto,soft eva,No data,media,profesional,No data,diamante,rugosa,potencia,hombre
SIUX BLACK CARBON REVOLUTION 3K,"108,95 €",siux,negro,palas,"alto, medio",soft eva,No data,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
BULLPADEL FLOW W 24,"171,95 €",bullpadel,blanco,palas,alto,multieva,No data,media,avanzado / competición,No data,diamante,rugosa,potencia,mujer
SIUX PEGASUS (SS),"520,00 €",siux,negro,palas,medio,soft eva,No data,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
BULLPADEL HACK 03 HYBRID 24,"202,95 €",bullpadel,naranja,palas,bajo,multieva,No data,media,avanzado / competición,No data,redonda,rugosa,control,"hombre, mujer"
HEAD SPEED PRO X SPECIAL PACKAGING 2023,"203,95 €",head,"negro, gris",palas,medio,black eva,No data,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
BABOLAT TECHNICAL VIPER JUAN LEBRON 2024,"303,95 €",babolat,rojo,palas,alto,eva,No data,media,"avanzado / competición, profesional",No data,diamante,rugosa,potencia,"hombre, mujer"
BABOLAT DYNA SPIRIT 2023,"127,95 €",babolat,"negro, lila",palas,medio,black eva,fibra de vidrio,blanda,avanzado / competición,mate,lágrima,rugosa,control,"hombre, mujer"
SIUX DIABLO REVOLUTION 2 JUNIOR VERDE,"44,95 €",siux,No data,palas,bajo,eva,fibra de vidrio,No data,principiante / intermedio,No data,No data,lisa,polivalente,junior
NOX EQUATION ADVANCED SERIES 2024,"83,95 €",nox,negro,palas,bajo,hard eva,fibra de vidrio,media,principiante / intermedio,No data,redonda,rugosa,control,"hombre, mujer"
ADIDAS METALBONE YOUTH 3.3 2024,"69,95 €",adidas,"negro, rojo",palas,alto,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,diamante,lisa,potencia,junior
BABOLAT STIMA ENERGY 2023,"169,95 €",babolat,"negro, azul",palas,medio,black eva,"carbono, fibra de vidrio",No data,avanzado / competición,mate,redonda,lisa,control,"hombre, mujer"
HEAD EXTREME PRO,"199,95 €",head,"negro, verde",palas,alto,foam,"carbono, fibra de vidrio",media,avanzado / competición,No data,diamante,rugosa,potencia,"hombre, mujer"
BULLPADEL IONIC POWER 2023,"99,95 €",bullpadel,"azul, plateado",palas,alto,eva,fibra de vidrio,No data,avanzado / competición,No data,diamante,rugosa,potencia,hombre
ADIDAS CROSS IT LIGHT PRO EDT BY MARTITA ORTEGA,"299,95 €",adidas,negro,palas,bajo,soft eva,No data,media,profesional,No data,redonda,rugosa,control,mujer
BABOLAT VIPER JUNIOR NEGRO BLANCO,"54,95 €",babolat,No data,palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,lágrima,rugosa,No data,junior
STAR VIE S2 FLUOR CARBON EFFECT,"114,95 €",No data,"negro, amarillo",palas,medio,medium eva,No data,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
BABOLAT STORM 2022,"55,95 €",babolat,"negro, amarillo, naranja",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,lágrima,lisa,polivalente,"hombre, mujer"
SIUX FUSION III,"59,95 €",siux,"negro, naranja, azul",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
RS COBRA EDITION NEGRO NARANJA,"46,95 €",No data,"negro, naranja, verde",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,redonda,rugosa,No data,"hombre, mujer"
SIUX BEAT HYBRID AIR,"79,00 €",siux,No data,palas,medio,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,No data,No data,polivalente,mujer
BULLPADEL HACK 02 PRF 2024,"99,95 €",bullpadel,No data,palas,medio,soft eva,fibra de vidrio,media,avanzado / competición,No data,No data,lisa,polivalente,hombre
VAIRO COLUMNS XTREME,"85,95 €",No data,negro,palas,medio,eva,No data,media,avanzado / competición,No data,No data,lisa,polivalente,hombre
HEAD ULTIMATE POWER YELLOW WITH CB,"69,95 €",head,"negro, amarillo",palas,medio,foam,No data,No data,avanzado / competición,mate,No data,lisa,polivalente,hombre
HEAD EXTREME ONE 2023,"251,95 €",head,negro,palas,alto,foam,No data,media,avanzado / competición,mate,diamante,rugosa,potencia,"hombre, mujer"
ADIDAS METALBONE CARBON CTRL 3.3 2024,"190,95 €",adidas,negro,palas,bajo,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,control,hombre
ECLYPSE LUNAR 3.0 WOMAN,"191,95 €",No data,"negro, morado",palas,"medio, bajo",hard eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,rugosa,No data,mujer
VAIRO BLACK KARBON CONFORT,"189,95 €",No data,negro,palas,medio,eva,No data,blanda,avanzado / competición,No data,No data,rugosa,polivalente,"hombre, mujer"
BABOLAT TECHNICAL VERON JUAN LEBRON 2024,"184,95 €",babolat,rojo,palas,alto,eva,"carbono, fibra de vidrio",media,profesional,No data,diamante,rugosa,potencia,hombre
BABOLAT STIMA SPIRIT 2023,"144,95 €",babolat,"negro, rosa",palas,medio,black eva,fibra de vidrio,blanda,avanzado / competición,mate,redonda,rugosa,potencia,mujer
NOX EQUATION LIGHT ADVANCED SERIES 2024,"89,95 €",nox,"blanco, rosa",palas,medio,black eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,rugosa,control,mujer
ADIDAS METALBONE CTRL 3.3 2024,"243,95 €",adidas,"negro, azul",palas,bajo,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,control,hombre
SIUX SPYDER LITE 3 HARD,"229,00 €",siux,negro,palas,alto,hard eva,No data,dura,avanzado / competición,No data,diamante,lisa,potencia,hombre
SIUX PEGASUS REVOLUTION CUBE,"199,95 €",black crown,No data,palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,redonda,rugosa,No data,"hombre, mujer"
BLACK CROWN HURRICANE 2022,"85,95 €",siux,negro,palas,medio,hard eva,No data,dura,avanzado / competición,No data,No data,lisa,polivalente,hombre
BLACK CROWN PITON AIR,"99,95 €",black crown,"negro, naranja",palas,bajo,medium eva,No data,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
BULLPADEL IONIC CONTROL 2023,"99,95 €",bullpadel,"naranja, lila",palas,alto,eva,No data,No data,avanzado / competición,No data,diamante,rugosa,potencia,hombre
RS COBRA APEX EDITION WOMEN BLACK,"109,95 €",No data,"negro, rosa",palas,bajo,black eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,mujer
BLACK CROWN SPECIAL POWER,"175,95 €",black crown,"negro, gris",palas,"alto, medio",black eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,hombre
HEAD SPEED MOTION ARI SANCHEZ 2024,"259,95 €",head,No data,palas,medio,foam,"carbono, fibra de vidrio",blanda,avanzado / competición,No data,lágrima,lisa,polivalente,mujer
ADIDAS ADIPOWER LIGHT 3.3,"142,95 €",adidas,blanco,palas,bajo,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,control,mujer
HARLEM HELIX,"59,95 €",No data,"negro, amarillo, morado",palas,"alto, medio",soft eva,fibra de vidrio,No data,avanzado / competición,No data,No data,lisa,No data,"hombre, mujer"
SALMING MAGICIAN S5 DUAL FORCE,"78,95 €",No data,blanco,palas,bajo,soft eva,No data,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
ENEBE NITRO GREEN 2024,"59,95 €",enebe,negro,No data,medio,black eva,fibra de vidrio,media,principiante / intermedio,mate,redonda,lisa,control,hombre
DUNLOP ROCKET TOUR AZUL,"50,95 €",dunlop,"negro, azul",palas,medio,eva,fibra de vidrio,media,principiante / intermedio,No data,redonda,lisa,control,hombre
WILSON PRO STAFF ELITE V2,"153,95 €",wilson,"negro, naranja",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,rugosa,control,"hombre, mujer"
VIBOR-A KING COBRA XTREME 3K 2024,"147,95 €",vibor-a,blanco,No data,alto,eva,No data,media,avanzado / competición,No data,diamante,rugosa,potencia,hombre
BLACK CROWN PITON 12 2024,"160,95 €",black crown,"negro, rojo",No data,medio,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,polivalente,hombre
HEAD EXTREME MOTION PAULA JOSEMARIA 2024,"259,95 €",head,No data,palas,alto,foam,"carbono 12k, fibra de vidrio",media,avanzado / competición,No data,diamante,lisa,potencia,mujer
DUNLOP SPEED ELITE HL,"50,95 €",dunlop,"negro, verde",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,hombre
DUNLOP TITAN 2.0 VERDE,"89,95 €",dunlop,No data,palas,medio,No data,No data,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
VARLION LW SUMMUM CARBON BLACK,"111,95 €",varlion,"negro, morado",palas,bajo,medium eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
DUNLOP TITAN 2.0 NARANJA,"89,95 €",dunlop,No data,palas,medio,No data,fibra de vidrio,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
VIBOR-A YARARA ELITE 24K,"208,95 €",vibor-a,"gold, rojo",No data,medio,eva,No data,media,profesional,No data,lágrima,rugosa,polivalente,hombre
WILSON PRO STAFF V2 2024,"223,95 €",wilson,"amarillo, rojo",palas,bajo,eva,No data,media,avanzado / competición,No data,redonda,rugosa,control,hombre
BLACK CROWN PITON NAKANO,"84,95 €",black crown,"negro, plateado, rosa",palas,alto,soft eva,fibra de vidrio,No data,"avanzado / competición, profesional",mate,redonda,lisa,No data,mujer
SOFTEE PRO MASTER EVOLUTION ROJO,"52,95 €",softee,"negro, rojo",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,lágrima,rugosa,No data,"hombre, mujer"
HARLEM BIONIC,"75,95 €",No data,"negro, rojo",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,mate,No data,rugosa,No data,"hombre, mujer"
DUNLOP AERO-STAR TEAM,"114,95 €",dunlop,No data,palas,alto,eva,No data,media,avanzado / competición,mate,diamante,rugosa,potencia,hombre
STAR VIE KRAKEN PRO,"125,95 €",No data,"negro, verde",palas,alto,medium eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
SIUX INFERNAL AVANT,"79,00 €",siux,No data,palas,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
STARVIE TRITON ULTRA SPEED SOFT 2024,"179,00 €",No data,"negro, plateado",No data,alto,ultrasoft eva,No data,blanda,avanzado / competición,No data,lágrima,rugosa,potencia,hombre
BLACK CROWN PITON AIR 12K 24,"153,95 €",black crown,verde,No data,bajo,eva,No data,media,avanzado / competición,No data,redonda,rugosa,control,hombre
BULLPADEL BP10 EVO 2024,"83,95 €",bullpadel,"negro, naranja",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,polivalente,hombre
SIUX DIABLO GO 3,"189,00 €",siux,"negro, blanco",palas,medio,eva,No data,media,principiante / intermedio,mate,No data,No data,polivalente,hombre
ADIDAS RX SERIES RED 2024,"81,95 €",adidas,"negro, blanco, rojo",palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,lisa,control,hombre
MYSTICA QUICKSTART CONTROL WHITE 2024,"52,95 €",No data,verde,palas,bajo,eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,No data,control,"hombre, mujer"
ROYAL PADEL 34 ANIVERSARIO HYBRID 2024,"218,95 €",royal padel,rojo,palas,medio,"eva, polietileno",No data,blanda,avanzado / competición,mate,lágrima,rugosa,polivalente,hombre
STARVIE AQUILA SPACE 2.0 2023,"134,95 €",No data,"negro, blanco, gris, azul",palas,medio,soft eva,No data,No data,avanzado / competición,mate,lágrima,rugosa,polivalente,"hombre, mujer"
SIUX BLACK CARBON REVOLUTION 2,"94,95 €",siux,"negro, rojo",palas,bajo,hard eva,No data,dura,avanzado / competición,No data,redonda,lisa,control,hombre
VIBOR-A YARARA ANIVERSARIO,"206,95 €",vibor-a,"negro, gold, rojo",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,mate,lágrima,rugosa,No data,"hombre, mujer"
VIBOR-A BAMBOO LIQUID EDITION 2023,"176,95 €",vibor-a,"negro, verde",palas,bajo,soft eva,No data,No data,principiante / intermedio,"mate, arenoso",redonda,rugosa,control,"hombre, mujer"
BABOLAT TECHNICAL VERON 2024,"190,95 €",babolat,No data,palas,alto,eva,"carbono, fibra de vidrio",No data,avanzado / competición,No data,diamante,No data,potencia,hombre
WILSON BELA V2 KID,"85,95 €",wilson,No data,palas,medio,eva,fibra de vidrio,media,principiante / intermedio,No data,lágrima,rugosa,polivalente,junior
DUNLOP IMPACT CARBON PRO LTD AZUL,"69,95 €",dunlop,"gris, azul",palas,medio,No data,fibra de vidrio,No data,principiante / intermedio,mate,No data,No data,polivalente,hombre
HARLEM CYCLONE 12K HP-198,"91,95 €",No data,"negro, gold, gris",palas,medio,soft eva,No data,No data,principiante / intermedio,mate,No data,lisa,polivalente,hombre
VIBOR-A KING COBRA ELITE 24K,"227,95 €",vibor-a,rojo,palas,alto,eva,No data,blanda,avanzado / competición,No data,diamante,rugosa,potencia,hombre
STARVIE AQUILA 2024,"110,95 €",No data,negro,No data,alto,soft eva,No data,blanda,principiante / intermedio,No data,lágrima,rugosa,polivalente,"hombre, mujer"
VAIRO TURBO SPEED,"64,95 €",No data,No data,palas,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
VAIRO GRAPHENO SPEED,"74,95 €",No data,No data,palas,medio,eva,No data,blanda,avanzado / competición,mate,redonda,lisa,control,hombre
RS PRIME TEAM EDITION MUJER,"149,95 €",No data,"negro, rosa",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,mujer
VAIRO ACROSS BLUE,"51,95 €",No data,azul,palas,bajo,eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,control,hombre
STARVIE RAYDIUM COLUMNS 2023,"103,95 €",No data,"naranja, azul",palas,medio,soft eva,No data,media,principiante / intermedio,mate,redonda,lisa,polivalente,hombre
ADIDAS DRIVE 3.3 BLUE,"51,95 €",adidas,azul,palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,redonda,lisa,control,hombre
SIUX TRILOGY GO 4,"175,00 €",siux,"negro, verde",palas,bajo,soft eva,No data,blanda,principiante / intermedio,No data,redonda,lisa,control,hombre
J HAYBER DOMINATOR D3K,"122,95 €",No data,"negro, lima",palas,medio,black eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
WILSON CARBON FORCE LT 2023,"127,95 €",wilson,negro,No data,medio,soft eva,No data,blanda,avanzado / competición,No data,diamante,rugosa,potencia,hombre
ADIDAS MATCH 3.3 BLACK RED 2024,"55,95 €",adidas,"negro, rojo",palas,alto,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,lágrima,lisa,polivalente,"hombre, mujer"
SIUX BEAT CONTROL,"79,00 €",siux,verde,palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,redonda,No data,control,hombre
ADIDAS CROSS IT CTRL 2024,"225,95 €",adidas,"negro, naranja",palas,bajo,hard eva,No data,dura,avanzado / competición,No data,redonda,rugosa,control,hombre
STAR VIE VESTA,"71,95 €",No data,"negro, morado, rosa",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
STAR VIE COMET,"107,95 €",No data,No data,palas,medio,soft eva,No data,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
BABOLAT COUNTER VIPER 2024,"242,95 €",babolat,amarillo,palas,alto,multieva,No data,media,principiante / intermedio,No data,No data,rugosa,polivalente,hombre
VIBOR-A YARARA RADICAL 12K 2024,"279,95 €",vibor-a,plateado,palas,alto,eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,potencia,hombre
ADIDAS BT ADIPOWER H24,"129,95 €",adidas,"negro, naranja",palas,medio,eva,No data,No data,avanzado / competición,mate,No data,rugosa,polivalente,"hombre, mujer"
PRINCE AIR V,"81,95 €",prince,negro,palas,"alto, medio",black eva,No data,media,principiante / intermedio,No data,lágrima,No data,"control, potencia",hombre
ENEBE SPITFIRE 12K 2024,"199,95 €",enebe,"negro, verde",No data,"alto, medio",black eva hr3,No data,media,avanzado / competición,No data,lágrima,No data,polivalente,"hombre, mujer"
VIBOR-A TITAN JUNIOR CLASSIC FIBER 2024,"71,95 €",vibor-a,negro,No data,medio,eva,fibra de vidrio,media,principiante / intermedio,mate,No data,lisa,polivalente,junior
VAIRO GRAPHENO CONFORT,"144,95 €",No data,No data,palas,medio,eva,fibra de vidrio,media,avanzado / competición,No data,No data,rugosa,control,hombre
VAIRO EVERLAST CROSS,"174,95 €",No data,No data,palas,alto,medium eva,No data,"dura, media",avanzado / competición,No data,diamante,lisa,No data,hombre
ROYAL PADEL RP WHIP EXTREME 2024,"198,95 €",royal padel,No data,palas,medio,No data,fibra de vidrio,blanda,avanzado / competición,No data,redonda,rugosa,polivalente,hombre
BULLPADEL RAIDER CONTROL,"59,95 €",bullpadel,naranja,palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,lisa,control,"hombre, mujer"
ENEBE COMBAT ULTRASOFT CELESTE,"60,95 €",enebe,"negro, azul",palas,bajo,black eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
WILSON PRO STAFF V2 TEAM,"47,95 €",wilson,"gris, rojo",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
BLACK CROWN PITON 11 SOFT 2023,"109,00 €",black crown,azul,palas,bajo,eva,"carbono, fibra de vidrio",No data,avanzado / competición,mate,redonda,rugosa,control,"hombre, mujer"
RS PADEL COBRA APEX EDITION MENTA MUJER,"109,95 €",No data,"negro, verde",palas,bajo,black eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,mujer
RS PRIME EDITION 2.0 MUJER,"169,95 €",No data,"negro, rosa",palas,medio,medium eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,mujer
BLACK CROWN PATRON 2024,"174,95 €",black crown,No data,palas,medio,medium eva,No data,media,principiante / intermedio,No data,No data,rugosa,polivalente,hombre
HEAD RADICAL ELITE 2024,"132,95 €",head,rojo,palas,medio,foam,fibra de vidrio,media,principiante / intermedio,mate,lágrima,lisa,polivalente,hombre
ADIDAS MATCH 3.3 BLACK LIME 2024,"52,95 €",adidas,"negro, amarillo",palas,alto,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,lágrima,lisa,polivalente,"hombre, mujer"
DUNLOP RAPID POWER 4.0,"65,95 €",dunlop,"negro, plateado",palas,medio,eva,fibra de vidrio,media,principiante / intermedio,mate,lágrima,lisa,polivalente,hombre
STAR VIE TRONIX,"120,95 €",No data,No data,palas,bajo,soft eva,No data,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
SIUX LIBERTY HYBRID,"99,95 €",siux,No data,palas,medio,eva,No data,media,principiante / intermedio,No data,lágrima,lisa,polivalente,hombre
DUNLOP TITAN 2.0 AMARILLA,"89,95 €",dunlop,negro,palas,medio,No data,fibra de vidrio,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
STARVIE BASALTO 2024,"150,95 €",No data,amarillo,No data,medio,soft eva,No data,blanda,principiante / intermedio,No data,lágrima,rugosa,polivalente,hombre
