Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador
WINGPADEL AIR COMBAT BLACK CTRL 4.0,59.95,wingpadel,"negro, plateado",bajo,medium eva,No data,media,avanzado,redonda,lisa,No data,hombre
DUNLOP IMPACT GREEN NH,49.95,dunlop,"negro, verde",alto,medium eva,fibra de vidrio,No data,avanzado,diamante,lisa,No data,mixta
ADIDAS METALBONE PRO EDT BY ALE GALÁN,424.95,adidas,No data,alto,soft eva,No data,media,pro,diamante,rugosa,potencia,hombre
SIUX BLACK CARBON REVOLUTION 3K,108.95,siux,negro,No data,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
BULLPADEL FLOW W 24,171.95,bullpadel,blanco,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,mujer
SIUX PEGASUS (SS),520.0,siux,negro,medio,soft eva,No data,media,avanzado,No data,lisa,polivalente,hombre
BULLPADEL HACK 03 HYBRID 24,202.95,bullpadel,naranja,bajo,medium eva,No data,media,avanzado,redonda,rugosa,control,mixta
HEAD SPEED PRO X SPECIAL PACKAGING 2023,203.95,head,"negro, gris",medio,medium eva,No data,media,avanzado,No data,lisa,polivalente,hombre
BABOLAT TECHNICAL VIPER JUAN LEBRON 2024,303.95,babolat,rojo,alto,medium eva,No data,media,pro,diamante,rugosa,potencia,mixta
BABOLAT DYNA SPIRIT 2023,127.95,babolat,"negro, lila",medio,medium eva,fibra de vidrio,blanda,avanzado,lágrima,rugosa,control,mixta
NOX EQUATION ADVANCED SERIES 2024,83.95,nox,negro,bajo,hard eva,fibra de vidrio,media,principiante,redonda,rugosa,control,mixta
BABOLAT STIMA ENERGY 2023,169.95,babolat,"negro, azul",medio,medium eva,mix,No data,avanzado,redonda,lisa,control,mixta
HEAD EXTREME PRO,199.95,head,"negro, verde",alto,foam,mix,media,avanzado,diamante,rugosa,potencia,mixta
BULLPADEL IONIC POWER 2023,99.95,bullpadel,"azul, plateado",alto,medium eva,fibra de vidrio,No data,avanzado,diamante,rugosa,potencia,hombre
ADIDAS CROSS IT LIGHT PRO EDT BY MARTITA ORTEGA,299.95,adidas,negro,bajo,soft eva,No data,media,pro,redonda,rugosa,control,mujer
STAR VIE S2 FLUOR CARBON EFFECT,114.95,No data,"negro, amarillo",medio,medium eva,No data,No data,avanzado,redonda,lisa,No data,mixta
BABOLAT STORM 2022,55.95,babolat,"negro, amarillo, naranja",medio,soft eva,fibra de vidrio,No data,principiante,lágrima,lisa,polivalente,mixta
SIUX FUSION III,59.95,siux,"negro, naranja, azul",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
RS COBRA EDITION NEGRO NARANJA,46.95,No data,"negro, naranja, verde",medio,soft eva,fibra de vidrio,No data,principiante,redonda,rugosa,No data,mixta
SIUX BEAT HYBRID AIR,79.0,siux,No data,medio,soft eva,fibra de vidrio,blanda,principiante,No data,No data,polivalente,mujer
BULLPADEL HACK 02 PRF 2024,99.95,bullpadel,No data,medio,soft eva,fibra de vidrio,media,avanzado,No data,lisa,polivalente,hombre
VAIRO COLUMNS XTREME,85.95,No data,negro,medio,medium eva,No data,media,avanzado,No data,lisa,polivalente,hombre
HEAD ULTIMATE POWER YELLOW WITH CB,69.95,head,"negro, amarillo",medio,foam,No data,No data,avanzado,No data,lisa,polivalente,hombre
HEAD EXTREME ONE 2023,251.95,head,negro,alto,foam,No data,media,avanzado,diamante,rugosa,potencia,mixta
ADIDAS METALBONE CARBON CTRL 3.3 2024,190.95,adidas,negro,bajo,soft eva,No data,blanda,avanzado,redonda,rugosa,control,hombre
ECLYPSE LUNAR 3.0 WOMAN,191.95,No data,"negro, morado",No data,hard eva,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mujer
VAIRO BLACK KARBON CONFORT,189.95,No data,negro,medio,medium eva,No data,blanda,avanzado,No data,rugosa,polivalente,mixta
BABOLAT TECHNICAL VERON JUAN LEBRON 2024,184.95,babolat,rojo,alto,medium eva,mix,media,pro,diamante,rugosa,potencia,hombre
BABOLAT STIMA SPIRIT 2023,144.95,babolat,"negro, rosa",medio,medium eva,fibra de vidrio,blanda,avanzado,redonda,rugosa,potencia,mujer
NOX EQUATION LIGHT ADVANCED SERIES 2024,89.95,nox,"blanco, rosa",medio,medium eva,fibra de vidrio,No data,avanzado,redonda,rugosa,control,mujer
ADIDAS METALBONE CTRL 3.3 2024,243.95,adidas,"negro, azul",bajo,soft eva,No data,blanda,avanzado,redonda,rugosa,control,hombre
SIUX SPYDER LITE 3 HARD,229.0,siux,negro,alto,hard eva,No data,dura,avanzado,diamante,lisa,potencia,hombre
SIUX PEGASUS REVOLUTION CUBE,199.95,black crown,No data,medio,soft eva,fibra de vidrio,No data,principiante,redonda,rugosa,No data,mixta
BLACK CROWN HURRICANE 2022,85.95,siux,negro,medio,hard eva,No data,dura,avanzado,No data,lisa,polivalente,hombre
BLACK CROWN PITON AIR,99.95,black crown,"negro, naranja",bajo,medium eva,No data,No data,avanzado,redonda,lisa,No data,mixta
BULLPADEL IONIC CONTROL 2023,99.95,bullpadel,"naranja, lila",alto,medium eva,No data,No data,avanzado,diamante,rugosa,potencia,hombre
RS COBRA APEX EDITION WOMEN BLACK,109.95,No data,"negro, rosa",bajo,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mujer
BLACK CROWN SPECIAL POWER,175.95,black crown,"negro, gris",No data,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,hombre
HEAD SPEED MOTION ARI SANCHEZ 2024,259.95,head,No data,medio,foam,mix,blanda,avanzado,lágrima,lisa,polivalente,mujer
ADIDAS ADIPOWER LIGHT 3.3,142.95,adidas,blanco,bajo,soft eva,No data,blanda,avanzado,redonda,rugosa,control,mujer
HARLEM HELIX,59.95,No data,"negro, amarillo, morado",No data,soft eva,fibra de vidrio,No data,avanzado,No data,lisa,No data,mixta
SALMING MAGICIAN S5 DUAL FORCE,78.95,No data,blanco,bajo,soft eva,No data,No data,principiante,redonda,lisa,No data,mixta
ENEBE NITRO GREEN 2024,59.95,enebe,negro,medio,medium eva,fibra de vidrio,media,principiante,redonda,lisa,control,hombre
DUNLOP ROCKET TOUR AZUL,50.95,dunlop,"negro, azul",medio,medium eva,fibra de vidrio,media,principiante,redonda,lisa,control,hombre
WILSON PRO STAFF ELITE V2,153.95,wilson,"negro, naranja",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,rugosa,control,mixta
VIBOR-A KING COBRA XTREME 3K 2024,147.95,vibor-a,blanco,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,hombre
BLACK CROWN PITON 12 2024,160.95,black crown,"negro, rojo",medio,soft eva,No data,blanda,avanzado,redonda,rugosa,polivalente,hombre
HEAD EXTREME MOTION PAULA JOSEMARIA 2024,259.95,head,No data,alto,foam,mix,media,avanzado,diamante,lisa,potencia,mujer
DUNLOP SPEED ELITE HL,50.95,dunlop,"negro, verde",medio,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,hombre
DUNLOP TITAN 2.0 VERDE,89.95,dunlop,No data,medio,No data,No data,media,avanzado,No data,lisa,polivalente,hombre
VARLION LW SUMMUM CARBON BLACK,111.95,varlion,"negro, morado",bajo,medium eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
DUNLOP TITAN 2.0 NARANJA,89.95,dunlop,No data,medio,No data,fibra de vidrio,media,avanzado,No data,lisa,polivalente,hombre
VIBOR-A YARARA ELITE 24K,208.95,vibor-a,"gold, rojo",medio,medium eva,No data,media,pro,lágrima,rugosa,polivalente,hombre
WILSON PRO STAFF V2 2024,223.95,wilson,"amarillo, rojo",bajo,medium eva,No data,media,avanzado,redonda,rugosa,control,hombre
BLACK CROWN PITON NAKANO,84.95,black crown,"negro, plateado, rosa",alto,soft eva,fibra de vidrio,No data,pro,redonda,lisa,No data,mujer
SOFTEE PRO MASTER EVOLUTION ROJO,52.95,softee,"negro, rojo",medio,soft eva,fibra de vidrio,No data,principiante,lágrima,rugosa,No data,mixta
HARLEM BIONIC,75.95,No data,"negro, rojo",No data,soft eva,No data,No data,avanzado,No data,rugosa,No data,mixta
DUNLOP AERO-STAR TEAM,114.95,dunlop,No data,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,hombre
STAR VIE KRAKEN PRO,125.95,No data,"negro, verde",alto,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
SIUX INFERNAL AVANT,79.0,siux,No data,No data,No data,No data,No data,No data,No data,No data,No data,mixta
STARVIE TRITON ULTRA SPEED SOFT 2024,179.0,No data,"negro, plateado",alto,soft eva,No data,blanda,avanzado,lágrima,rugosa,potencia,hombre
BLACK CROWN PITON AIR 12K 24,153.95,black crown,verde,bajo,medium eva,No data,media,avanzado,redonda,rugosa,control,hombre
BULLPADEL BP10 EVO 2024,83.95,bullpadel,"negro, naranja",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,polivalente,hombre
SIUX DIABLO GO 3,189.0,siux,"negro, blanco",medio,medium eva,No data,media,principiante,No data,No data,polivalente,hombre
ADIDAS RX SERIES RED 2024,81.95,adidas,"negro, blanco, rojo",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,hombre
MYSTICA QUICKSTART CONTROL WHITE 2024,52.95,No data,verde,bajo,medium eva,fibra de vidrio,blanda,principiante,redonda,No data,control,mixta
ROYAL PADEL 34 ANIVERSARIO HYBRID 2024,218.95,royal padel,rojo,medio,foam,No data,blanda,avanzado,lágrima,rugosa,polivalente,hombre
STARVIE AQUILA SPACE 2.0 2023,134.95,No data,"negro, blanco, gris, azul",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,polivalente,mixta
SIUX BLACK CARBON REVOLUTION 2,94.95,siux,"negro, rojo",bajo,hard eva,No data,dura,avanzado,redonda,lisa,control,hombre
VIBOR-A YARARA ANIVERSARIO,206.95,vibor-a,"negro, gold, rojo",No data,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
VIBOR-A BAMBOO LIQUID EDITION 2023,176.95,vibor-a,"negro, verde",bajo,soft eva,No data,No data,principiante,redonda,rugosa,control,mixta
BABOLAT TECHNICAL VERON 2024,190.95,babolat,No data,alto,medium eva,mix,No data,avanzado,diamante,No data,potencia,hombre
DUNLOP IMPACT CARBON PRO LTD AZUL,69.95,dunlop,"gris, azul",medio,No data,fibra de vidrio,No data,principiante,No data,No data,polivalente,hombre
HARLEM CYCLONE 12K HP-198,91.95,No data,"negro, gold, gris",medio,soft eva,No data,No data,principiante,No data,lisa,polivalente,hombre
VIBOR-A KING COBRA ELITE 24K,227.95,vibor-a,rojo,alto,medium eva,No data,blanda,avanzado,diamante,rugosa,potencia,hombre
STARVIE AQUILA 2024,110.95,No data,negro,alto,soft eva,No data,blanda,principiante,lágrima,rugosa,polivalente,mixta
VAIRO TURBO SPEED,64.95,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,mixta
VAIRO GRAPHENO SPEED,74.95,No data,No data,medio,medium eva,No data,blanda,avanzado,redonda,lisa,control,hombre
RS PRIME TEAM EDITION MUJER,149.95,No data,"negro, rosa",No data,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mujer
VAIRO ACROSS BLUE,51.95,No data,azul,bajo,medium eva,fibra de vidrio,No data,principiante,redonda,lisa,control,hombre
STARVIE RAYDIUM COLUMNS 2023,103.95,No data,"naranja, azul",medio,soft eva,No data,media,principiante,redonda,lisa,polivalente,hombre
ADIDAS DRIVE 3.3 BLUE,51.95,adidas,azul,bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,hombre
SIUX TRILOGY GO 4,175.0,siux,"negro, verde",bajo,soft eva,No data,blanda,principiante,redonda,lisa,control,hombre
J HAYBER DOMINATOR D3K,122.95,No data,"negro, lima",medio,medium eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
WILSON CARBON FORCE LT 2023,127.95,wilson,negro,medio,soft eva,No data,blanda,avanzado,diamante,rugosa,potencia,hombre
ADIDAS MATCH 3.3 BLACK RED 2024,55.95,adidas,"negro, rojo",alto,soft eva,fibra de vidrio,blanda,principiante,lágrima,lisa,polivalente,mixta
SIUX BEAT CONTROL,79.0,siux,verde,bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,No data,control,hombre
ADIDAS CROSS IT CTRL 2024,225.95,adidas,"negro, naranja",bajo,hard eva,No data,dura,avanzado,redonda,rugosa,control,hombre
STAR VIE VESTA,71.95,No data,"negro, morado, rosa",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
STAR VIE COMET,107.95,No data,No data,medio,soft eva,No data,No data,principiante,redonda,lisa,No data,mixta
BABOLAT COUNTER VIPER 2024,242.95,babolat,amarillo,alto,medium eva,No data,media,principiante,No data,rugosa,polivalente,hombre
VIBOR-A YARARA RADICAL 12K 2024,279.95,vibor-a,plateado,alto,medium eva,No data,No data,avanzado,lágrima,rugosa,potencia,hombre
ADIDAS BT ADIPOWER H24,129.95,adidas,"negro, naranja",medio,medium eva,No data,No data,avanzado,No data,rugosa,polivalente,mixta
PRINCE AIR V,81.95,prince,negro,No data,medium eva,No data,media,principiante,lágrima,No data,polivalente,hombre
ENEBE SPITFIRE 12K 2024,199.95,enebe,"negro, verde",No data,medium eva,No data,media,avanzado,lágrima,No data,polivalente,mixta
VAIRO GRAPHENO CONFORT,144.95,No data,No data,medio,medium eva,fibra de vidrio,media,avanzado,No data,rugosa,control,hombre
VAIRO EVERLAST CROSS,174.95,No data,No data,alto,medium eva,No data,dura,avanzado,diamante,lisa,No data,hombre
ROYAL PADEL RP WHIP EXTREME 2024,198.95,royal padel,No data,medio,No data,fibra de vidrio,blanda,avanzado,redonda,rugosa,polivalente,hombre
BULLPADEL RAIDER CONTROL,59.95,bullpadel,naranja,bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,mixta
ENEBE COMBAT ULTRASOFT CELESTE,60.95,enebe,"negro, azul",bajo,medium eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
WILSON PRO STAFF V2 TEAM,47.95,wilson,"gris, rojo",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
BLACK CROWN PITON 11 SOFT 2023,109.0,black crown,azul,bajo,medium eva,mix,No data,avanzado,redonda,rugosa,control,mixta
RS PADEL COBRA APEX EDITION MENTA MUJER,109.95,No data,"negro, verde",bajo,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mujer
RS PRIME EDITION 2.0 MUJER,169.95,No data,"negro, rosa",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mujer
BLACK CROWN PATRON 2024,174.95,black crown,No data,medio,medium eva,No data,media,principiante,No data,rugosa,polivalente,hombre
HEAD RADICAL ELITE 2024,132.95,head,rojo,medio,foam,fibra de vidrio,media,principiante,lágrima,lisa,polivalente,hombre
ADIDAS MATCH 3.3 BLACK LIME 2024,52.95,adidas,"negro, amarillo",alto,soft eva,fibra de vidrio,blanda,principiante,lágrima,lisa,polivalente,mixta
DUNLOP RAPID POWER 4.0,65.95,dunlop,"negro, plateado",medio,medium eva,fibra de vidrio,media,principiante,lágrima,lisa,polivalente,hombre
STAR VIE TRONIX,120.95,No data,No data,bajo,soft eva,No data,No data,principiante,redonda,lisa,No data,mixta
SIUX LIBERTY HYBRID,99.95,siux,No data,medio,medium eva,No data,media,principiante,lágrima,lisa,polivalente,hombre
DUNLOP TITAN 2.0 AMARILLA,89.95,dunlop,negro,medio,No data,fibra de vidrio,media,avanzado,No data,lisa,polivalente,hombre
STARVIE BASALTO 2024,150.95,No data,amarillo,medio,soft eva,No data,blanda,principiante,lágrima,rugosa,polivalente,hombre
STARVIE DRONOS ULTRA SPEED SOFT 2024,149.95,No data,No data,medio,soft eva,No data,blanda,principiante,lágrima,rugosa,polivalente,hombre
VIBOR-A YARARA XTREME 3K 2024,147.95,vibor-a,No data,medio,medium eva,No data,media,avanzado,No data,rugosa,polivalente,hombre
ADIDAS ADIPOWER CTRL 3.3,190.95,adidas,"negro, naranja",bajo,soft eva,No data,blanda,avanzado,redonda,rugosa,control,hombre
ADIDAS ADIPOWER TEAM LIGHT 3.3,111.95,adidas,"blanco, verde",bajo,soft eva,fibra de vidrio,blanda,avanzado,redonda,No data,control,hombre
ADIDAS ADIPOWER MULTIWEIGHT 3.3,256.95,adidas,negro,alto,medium eva,No data,media,avanzado,diamante,rugosa,control,hombre
BULLPADEL IONIC CONTROL 2024,122.95,bullpadel,"amarillo, naranja, plateado",bajo,medium eva,No data,media,principiante,redonda,lisa,control,hombre
BABOLAT COUNTER VERON 2024,191.95,babolat,"negro, amarillo",alto,medium eva,mix,media,principiante,No data,rugosa,polivalente,hombre
SIUX GENESIS HYBRID 12K,299.0,siux,"negro, rojo",medio,medium eva,No data,No data,avanzado,No data,rugosa,polivalente,hombre
DUNLOP INFERNO CARBON EXTREME,127.95,dunlop,"negro, naranja",medio,medium eva,No data,dura,pro,No data,rugosa,polivalente,hombre
BABOLAT TECHNICAL VIPER 2024,255.95,babolat,marrón,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,hombre
DUNLOP TITAN PRO GOLD 2024,94.95,dunlop,gris,medio,No data,fibra de vidrio,media,avanzado,No data,lisa,polivalente,hombre
STARVIE CORVUS COLUMNS,101.95,No data,negro,alto,soft eva,No data,blanda,avanzado,lágrima,lisa,potencia,hombre
VAIRO COLUMNS ULTRA,229.95,No data,negro,medio,medium eva,No data,media,avanzado,No data,lisa,polivalente,mixta
STARVIE VESTA 2024,88.95,No data,"negro, azul",medio,soft eva,fibra de vidrio,blanda,principiante,redonda,No data,control,hombre
STARVIE ECLIPTA 2024,99.95,No data,"negro, blanco, morado",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,mixta
VIBOR-A NAYA XTREME FIBER 2024,111.95,vibor-a,blanco,medio,soft eva,fibra de vidrio,blanda,principiante,lágrima,rugosa,polivalente,mixta
BLACK CROWN SPECIAL PRO,264.95,black crown,No data,medio,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,hombre
SOFTEE IMPERIUM 2024,51.95,softee,negro,medio,medium eva,fibra de vidrio,media,principiante,No data,rugosa,polivalente,hombre
SIUX TITANIA LADY 2.0,79.0,siux,negro,medio,medium eva,fibra de vidrio,media,pro,redonda,lisa,polivalente,mujer
BLACK CROWN SPECIAL MASTER,224.95,black crown,azul,medio,medium eva,mix,media,avanzado,lágrima,No data,polivalente,hombre
STAR VIE KRAKEN SOFT,125.95,No data,"negro, verde",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
SALMING HERO S21 ATTACK,114.95,No data,"negro, blanco",alto,medium eva,No data,No data,avanzado,diamante,lisa,No data,mixta
ENEBE CROSS,70.95,enebe,"amarillo, gris",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
VIDAR OF BASTAD CC ELITE,209.95,No data,"negro, gris",No data,medium eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
SALMING HERO S19 TECH,94.95,No data,"negro, rosa",No data,medium eva,No data,No data,avanzado,No data,lisa,No data,mujer
ENEBE AEROX PRO CARBON ROJO,124.95,enebe,"negro, naranja",alto,medium eva,No data,No data,avanzado,lágrima,lisa,potencia,hombre
PALA BEACH TENNIS ADIDAS METALBONE 3.2 H31 NEGRO AZUL,149.95,adidas,"negro, azul",medio,medium eva,No data,media,principiante,lágrima,lisa,potencia,mixta
DUNLOP ROCKET TOUR ROJO,55.95,dunlop,"negro, rojo",medio,medium eva,fibra de vidrio,media,principiante,redonda,lisa,control,hombre
VAIRO ACROSS PINK,64.95,No data,"negro, blanco, rosa",medio,medium eva,fibra de vidrio,No data,principiante,redonda,lisa,polivalente,mujer
PRINCE ROCKET TATTO,149.95,prince,"negro, blanco, rojo",medio,medium eva,No data,No data,principiante,redonda,rugosa,polivalente,hombre
DUNLOP BOOST ATTACK 2.0,97.95,dunlop,verde,medio,soft eva,fibra de vidrio,blanda,principiante,lágrima,rugosa,polivalente,mixta
BLACK CROWN PITON PREMIUM 2024,165.95,black crown,"negro, naranja",medio,soft eva,No data,blanda,avanzado,redonda,rugosa,polivalente,hombre
STARVIE ARCADIA 2024,66.95,No data,"naranja, azul",bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,No data,polivalente,mixta
STARVIE TITANIA SOFT 2024,121.95,No data,"negro, rojo",medio,soft eva,fibra de vidrio,blanda,principiante,redonda,rugosa,polivalente,hombre
STARVIE KENTA ETERNAL PRO 2024,184.95,No data,"negro, gold",bajo,medium eva,No data,media,avanzado,redonda,rugosa,control,hombre
ENEBE SUPRA 3K 2024,183.95,enebe,"negro, naranja",medio,medium eva,No data,media,avanzado,lágrima,lisa,polivalente,hombre
VIBOR-A RUSSELL CLASSIC FIBER 2024,87.95,vibor-a,No data,medio,soft eva,fibra de vidrio,blanda,principiante,No data,lisa,polivalente,mixta
SOFTEE RUNA BLUE HYBRID,139.95,softee,azul,medio,soft eva,No data,blanda,avanzado,No data,lisa,polivalente,hombre
SOFTEE RAZE EVOLUTION GREEN CARBONO,75.95,softee,negro,medio,soft eva,No data,blanda,principiante,No data,lisa,polivalente,hombre
SOFTEE RANGER ORANGE 2024,59.95,softee,negro,medio,soft eva,fibra de vidrio,media,principiante,diamante,rugosa,potencia,hombre
SOFTEE RUNA RED HYBRID 2024,139.95,softee,negro,medio,soft eva,No data,blanda,principiante,No data,lisa,polivalente,hombre
BULLPADEL X-COMPACT 2 LTD GREEN,64.95,bullpadel,"negro, verde",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
DUNLOP PDL SPACE ELITE G1 HL,95.95,dunlop,naranja,alto,No data,No data,media,avanzado,diamante,lisa,potencia,hombre
BULLPADEL KITTER AZUL,54.95,bullpadel,"negro, gris",alto,medium eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
BULLPADEL VERTEX XSERIES,108.95,bullpadel,"negro, azul",alto,soft eva,fibra de vidrio,media,principiante,lágrima,lisa,control,mixta
NOX AT10 GENIUS 18K BLACK BY AGUSTIN TAPIA,179.95,nox,rojo,medio,medium eva,No data,dura,avanzado,lágrima,rugosa,polivalente,hombre
SIUX PLATINUM REVOLUTION 24K,89.95,siux,"negro, naranja",medio,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
BULLPADEL ELITE W MUJER 2023,114.95,bullpadel,"negro, plateado",medio,medium eva,mix,No data,avanzado,lágrima,lisa,polivalente,mujer
NOX SHADOW CONTROL FIBER,79.95,nox,"negro, verde",medio,hard eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
DUNLOP RENEGADE,49.95,dunlop,"negro, amarillo, gris",bajo,soft eva,No data,No data,principiante,redonda,lisa,No data,mixta
BULLPADEL LEGEND 3.0,69.95,bullpadel,"negro, azul",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
BULLPADEL RAIDER PWR,49.95,bullpadel,"negro, verde",alto,soft eva,fibra de vidrio,No data,principiante,diamante,lisa,No data,mixta
ADIDAS METALBONE W TEAM MUJER 2023,105.95,adidas,"negro, blanco, azul",alto,soft eva,fibra de vidrio,No data,pro,diamante,rugosa,potencia,mujer
BABOLAT COUNTER VIPER 2023,152.95,babolat,"negro, amarillo",medio,medium eva,No data,No data,avanzado,redonda,rugosa,polivalente,mixta
NOX AT10 GENIUS 18K GLOSS BY AGUSTIN TAPIA EX,149.95,nox,No data,medio,medium eva,No data,media,avanzado,lágrima,No data,polivalente,hombre
WILSON BELA TEAM V2 ROJO,109.95,wilson,rojo,alto,medium eva,fibra de vidrio,No data,avanzado,diamante,rugosa,potencia,mixta
NOX ML10 BAHIA LUXURY SERIES 23,109.95,nox,"negro, rojo",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,polivalente,mixta
BABOLAT VIPER CARBON VICTORY BARCELONA,144.95,babolat,"gold, azul",alto,medium eva,No data,No data,avanzado,diamante,rugosa,potencia,hombre
WILSON CUPRA PADEL,104.95,wilson,No data,medio,soft eva,No data,blanda,pro,diamante,rugosa,polivalente,hombre
NOX AT GENIUS ATTACK 18K 2022,127.95,nox,No data,No data,medium eva,No data,No data,avanzado,diamante,rugosa,No data,hombre
BULLPADEL X-COMPACT 2 LTD NARANJA,39.95,bullpadel,"negro, naranja",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
BULLPADEL FLOW W MUJER 2023,84.95,bullpadel,"blanco, rosa",medio,medium eva,mix,No data,avanzado,diamante,rugosa,polivalente,mujer
DUNLOP SAMURAI SOFT,49.95,dunlop,"negro, gris, rojo",medio,soft eva,No data,No data,principiante,lágrima,lisa,No data,mixta
PALA SIUX CAYMAN,59.95,siux,"negro, naranja, plateado",medio,soft eva,No data,No data,principiante,No data,rugosa,polivalente,hombre
DUNLOP IMPACT PRO HL PINK,59.95,dunlop,"negro, azul, rosa",medio,medium eva,fibra de vidrio,media,avanzado,No data,rugosa,polivalente,mixta
BULLPADEL ELITE LIGHT FIP,99.95,bullpadel,No data,medio,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,mujer
SOFTEE FREEZER CARBON BLUE 2024,123.95,softee,negro,medio,medium eva,No data,media,principiante,lágrima,No data,polivalente,hombre
SOFTEE RAZE EVOLUTION ORANGE CARBONO,69.95,softee,negro,medio,soft eva,No data,blanda,principiante,redonda,lisa,polivalente,hombre
RS PADEL COBRA EDITION LIMA MUJER,79.95,No data,"negro, lima",bajo,medium eva,fibra de vidrio,No data,principiante,redonda,rugosa,No data,mujer
SOFTEE K3 TOUR 7.0,144.95,softee,"negro, amarillo",alto,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
J.HAYBER WARRIOR FIT,51.95,No data,"azul, lima",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
BULLPADEL AXYM DB 2023,89.95,bullpadel,"negro, verde",medio,medium eva,fibra de vidrio,No data,avanzado,lágrima,rugosa,polivalente,hombre
STAR VIE RAPTOR MASTER FINAL,179.0,No data,blanco,medio,soft eva,No data,media,avanzado,redonda,rugosa,polivalente,hombre
DUNLOP BLITZ ATTACK 2.0,103.95,dunlop,naranja,bajo,medium eva,No data,media,avanzado,redonda,rugosa,control,hombre
SOFTEE BEACH TENNIS FISTERRA,232.95,No data,negro,medio,medium eva,No data,media,avanzado,redonda,rugosa,control,mixta
VAIRO COMPACT SIGNATURE,209.95,softee,"negro, blanco",No data,medium eva,No data,media,pro,No data,rugosa,No data,hombre
BLACK CROWN PITON 12 SILVER 2024,160.95,black crown,"negro, azul marino",medio,soft eva,No data,blanda,avanzado,redonda,rugosa,polivalente,hombre
SIUX ELECTRA ST3 GO,189.0,siux,No data,medio,hard eva,No data,media,principiante,No data,rugosa,polivalente,mixta
MYSTICA LEGACY HYBRID YELLOW 2024,62.95,No data,"negro, amarillo",medio,medium eva,fibra de vidrio,media,principiante,No data,lisa,polivalente,mixta
ENEBE ARROW BLUE 2024,67.95,enebe,"negro, azul",alto,soft eva,fibra de vidrio,blanda,principiante,diamante,lisa,potencia,hombre
ENEBE COMBAT CARBON 9.1,48.95,No data,No data,medio,medium eva,fibra de vidrio,media,principiante,No data,No data,polivalente,mixta
MYSTICA QUICKSTART HYBRID RED 2024,109.95,enebe,"negro, lima",bajo,soft eva,No data,No data,avanzado,No data,lisa,No data,mixta
RS COBRA EDITION NEGRO BLANCO,104.95,No data,"negro, blanco",medio,soft eva,fibra de vidrio,No data,principiante,redonda,rugosa,No data,mixta
SOFTEE PRO MASTER EVOLUTION AMARILLO,49.95,softee,"negro, amarillo",medio,soft eva,fibra de vidrio,No data,principiante,lágrima,rugosa,No data,mixta
